STATION,STATION_NAME,DATE,TAVG
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140103,16
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140104,15
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140105,31
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140106,46
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140107,15
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140108,14
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140109,26
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140110,31
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140111,46
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140112,47
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140113,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140114,46
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140115,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140116,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140117,37
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140118,39
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140119,31
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140120,39
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140121,27
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140122,13
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140123,14
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140124,16
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140125,24
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140126,22
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140127,35
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140128,20
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140129,19
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140130,21
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140131,31
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140201,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140202,39
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140203,38
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140204,29
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140205,32
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140206,29
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140207,28
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140208,27
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140209,26
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140210,26
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140211,22
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140212,19
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140213,31
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140214,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140215,34
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140216,27
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140217,24
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140218,32
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140219,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140220,39
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140221,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140222,42
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140223,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140224,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140225,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140226,28
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140227,25
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140228,18
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140301,26
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140302,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140303,27
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140304,20
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140305,31
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140306,26
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140307,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140308,42
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140309,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140310,42
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140311,49
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140312,47
